0001	装備無し
0002	レザーライトアーム
0003	チェーンアーム
0004	ハンターアーム
0005	ハンターガード
0006	ボーンアーム
0007	ボーンガード
0008	蓝速龙アーム
0009	蓝速龙ガード
000a	バトルアーム
000b	バトルガード
000c	ランゴアーム
000d	ランゴガード
000e	タロスアーム
000f	タロスガード
0010	ハイメタアーム
0011	ハイメタガード
0012	黄速龙アーム
0013	黄速龙ガード
0014	クックアーム
0015	クックガード
0016	红速龙アーム
0017	红速龙ガード
0018	毒怪鸟アーム
0019	毒怪鸟ガード
001a	砂龙アーム
001b	砂龙ガード
001c	スティールアーム
001d	レイアアーム
001e	レイアガード
001f	电龙アーム
0020	电龙ガード
0021	レウスアーム
0022	レウスガード
0023	ガノスアーム
0024	ガノスガード
0025	キングロブスタアーム
0026	キングロブスタガード
0027	バサルアーム
0028	バサルガード
0029	ディアブロアーム
002a	ディアブロガード
002b	一角龙アーム
002c	一角龙ガード
002d	グラビドアーム
002e	グラビドガード
002f	クロオビアーム
0030	苔猪パンチ
0031	マカルパスリーブ
0032	蓝速龙ーツハンド
0033	黄速龙ーツハンド
0034	红速龙ーツハンド
0035	忍の篭手・陽
0036	忍の篭手・陰
0037	ガーディアンアーム
0038	ガーディアンガード
0039	ヘルパーカフス
003a	ヒーラーカフス
003b	ガルルガアーム
003c	ガルルガガード
003d	暁丸【篭手】
003e	曙丸【篭手】
003f	凛【篭手】
0040	艶【篭手】
0041	ドラゴンクロウ
0042	ドラゴンフィスト
0043	レザーライトＵアーム
0044	チェーンＵアーム
0045	ハンターＵアーム
0046	ハンターＵガード
0047	ボーンＵアーム
0048	ボーンＵガード
0049	蓝速龙Ｕアーム
004a	蓝速龙Ｕガード
004b	バトルＵアーム
004c	バトルＵガード
004d	ランゴＵアーム
004e	ランゴＵガード
004f	タロスＵアーム
0050	タロスＵガード
0051	ハイメタＵアーム
0052	ハイメタＵガード
0053	黄速龙Ｕアーム
0054	黄速龙Ｕガード
0055	クックＵアーム
0056	クックＵガード
0057	红速龙Ｕアーム
0058	红速龙Ｕガード
0059	毒怪鸟Ｕアーム
005a	毒怪鸟Ｕガード
005b	砂龙Ｕアーム
005c	砂龙Ｕガード
005d	スティールＵアーム
005e	リオハートアーム
005f	リオハートガード
0060	电龙Ｕアーム
0061	电龙Ｕガード
0062	リオソウルアーム
0063	リオソウルガード
0064	ガノスＵアーム
0065	ガノスＵガード
0066	バサルＵアーム
0067	バサルＵガード
0068	ディアブロＵアーム
0069	ディアブロＵガード
006a	モノデビルアーム
006b	モノデビルガード
006c	グラビドＵアーム
006d	グラビドＵガード
006e	忍の篭手・空
006f	忍の篭手・海
0070	ガーディアンＵアーム
0071	ガーディアンＵガード
0072	ヘルパーＵカフス
