0001	装備無し
0002	レザーライトメイル
0003	チェーンメイル
0004	ハンターメイル
0005	ハンターレジスト
0006	ボーンメイル
0007	ボーンレジスト
0008	蓝速龙メイル
0009	蓝速龙レジスト
000a	バトルメイル
000b	バトルレジスト
000c	ランゴメイル
000d	ランゴレジスト
000e	タロスメイル
000f	タロスレジスト
0010	ハイメタメイル
0011	ハイメタレジスト
0012	黄速龙メイル
0013	黄速龙レジスト
0014	クックメイル
0015	クックレジスト
0016	红速龙メイル
0017	红速龙レジスト
0018	毒怪鸟メイル
0019	毒怪鸟レジスト
001a	砂龙メイル
001b	砂龙レジスト
001c	スティールメイル
001d	レイアメイル
001e	レイアレジスト
001f	电龙メイル
0020	电龙レジスト
0021	レウスメイル
0022	レウスレジスト
0023	ガノスメイル
0024	ガノスレジスト
0025	キングロブスタシェル
0026	キングロブスタスキン
0027	バサルメイル
0028	バサルレジスト
0029	ディアブロメイル
002a	ディアブロレジスト
002b	一角龙メイル
002c	一角龙レジスト
002d	グラビドメイル
002e	グラビドレジスト
002f	クロオビメイル
0030	苔猪ブレスト
0031	メルホアトロンコ
0032	マカルパペプラム
0033	ビストロベスト
0034	蓝速龙ーツボディ
0035	黄速龙ーツボディ
0036	红速龙ーツボディ
0037	忍の装束・陽
0038	忍の装束・陰
0039	ガーディアンスーツ
003a	ガーディアンベスト
003b	ヘルパーベスト
003c	ヒーラーベスト
003d	ガルルガメイル
003e	ガルルガレジスト
003f	暁丸【胴当て】
0040	曙丸【胴当て】
0041	凛【胸当て】
0042	艶【胸当て】
0043	ドラゴンハイド
0044	ドラゴンスキン
0045	レザーライトＵメイル
0046	チェーンＵメイル
0047	ハンターＵメイル
0048	ハンターＵレジスト
0049	ボーンＵメイル
004a	ボーンＵレジスト
004b	蓝速龙Ｕメイル
004c	蓝速龙Ｕレジスト
004d	バトルＵメイル
004e	バトルＵレジスト
004f	ランゴＵメイル
0050	ランゴＵレジスト
0051	タロスＵメイル
0052	タロスＵレジスト
0053	ハイメタＵメイル
0054	ハイメタＵレジスト
0055	黄速龙Ｕメイル
0056	黄速龙Ｕレジスト
0057	クックＵメイル
0058	クックＵレジスト
0059	红速龙Ｕメイル
005a	红速龙Ｕレジスト
005b	毒怪鸟Ｕメイル
005c	毒怪鸟Ｕレジスト
005d	砂龙Ｕメイル
005e	砂龙Ｕレジスト
005f	スティールＵメイル
0060	リオハートメイル
0061	リオハートレジスト
0062	电龙Ｕメイル
0063	电龙Ｕレジスト
0064	リオソウルメイル
0065	リオソウルレジスト
0066	ガノスＵメイル
0067	ガノスＵレジスト
0068	バサルＵメイル
0069	バサルＵレジスト
006a	ディアブロＵメイル
006b	ディアブロＵレジスト
006c	モノデビルメイル
006d	モノデビルレジスト
006e	グラビドＵメイル
006f	グラビドＵレジスト
0070	忍の装束・空
0071	忍の装束・海
0072	ガーディアンＵスーツ
0073	ガーディアンＵベスト
0074	ヘルパーＵベスト
0075	ヒーラーＵベスト
0076	暁丸・皇【胴当て】
0077	曙丸・皇【胴当て】
0078	凛・皇【胸当て】
0079	艶・皇【胸当て】
007a	ミラバルカンハイド
007b	ミラバルカンスキン
007c	ゴールドルナメイル
007d	ゴールドルナレジスト
007e	シルバーソルメイル
007f	シルバーソルレジスト
0080	レザーライトＳメイル
0081	チェーンＳメイル
0082	ハンターＳメイル
0083	ハンターＳレジスト
0084	ボーンＳメイル
0085	ボーンＳレジスト
0086	蓝速龙Ｓメイル
0087	蓝速龙Ｓレジスト
0088	バトルＳメイル
0089	バトルＳレジスト
008a	ランゴＳメイル
008b	ランゴＳレジスト
008c	タロスＳメイル
008d	タロスＳレジスト
008e	ハイメタＳメイル
008f	ハイメタＳレジスト
0090	黄速龙Ｓメイル
0091	黄速龙Ｓレジスト
0092	クックＳメイル
